Dataset,#TrainingRelease,%training (data on training / total data),%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,NaiveBayes,NONE,false,NONE,42.0,48.0,0.0,1.0,0.4666666666666667,0.9767441860465116,0.5007267441860465,-0.02200320880128345
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,IBk,NONE,false,NONE,29.0,25.0,23.0,14.0,0.5370370370370371,0.6744186046511628,0.5564437984496124,0.1515658618216591
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,Random Forest,NONE,false,NONE,41.0,44.0,4.0,2.0,0.4823529411764706,0.9534883720930233,0.6162790697674418,0.03503918856615958
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,NaiveBayes,NONE,false,NONE,9.0,23.0,317.0,7.0,0.28125,0.5625,0.6784926470588235,0.3351593625498007
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,IBk,NONE,false,NONE,11.0,63.0,277.0,5.0,0.14864864864864866,0.6875,0.7725183823529411,0.18414667026152606
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,Random Forest,NONE,false,NONE,11.0,59.0,281.0,5.0,0.15714285714285714,0.6875,0.7895220588235294,0.19706794474203537
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,NaiveBayes,NONE,false,NONE,0.0,0.0,321.0,35.0,NaN,0.0,0.8825100133511349,0.0
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,IBk,NONE,false,NONE,2.0,4.0,317.0,33.0,0.3333333333333333,0.05714285714285714,0.5337783711615487,0.07082392776523702
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,Random Forest,NONE,false,NONE,3.0,2.0,319.0,32.0,0.6,0.08571428571428572,0.3206497552291945,0.12858171346292324
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,NaiveBayes,NONE,false,NONE,4.0,1.0,332.0,24.0,0.8,0.14285714285714285,0.847972972972973,0.2241898048654688
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,IBk,NONE,false,NONE,6.0,14.0,319.0,22.0,0.3,0.21428571428571427,0.555984555984556,0.19817374136228963
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,Random Forest,NONE,false,NONE,10.0,10.0,323.0,18.0,0.5,0.35714285714285715,0.907979407979408,0.3763573543928919
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,NaiveBayes,NONE,false,NONE,5.0,17.0,346.0,11.0,0.22727272727272727,0.3125,0.7816804407713499,0.22528836326470994
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,IBk,NONE,false,NONE,3.0,28.0,335.0,13.0,0.0967741935483871,0.1875,0.512482782369146,0.07621425598953739
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,Random Forest,NONE,false,NONE,6.0,17.0,346.0,10.0,0.2608695652173913,0.375,0.7599862258953168,0.2714133143467423
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,NaiveBayes,NONE,false,THRESH,42.0,48.0,0.0,1.0,0.4666666666666667,0.9767441860465116,0.4883720930232558,-0.02200320880128345
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,IBk,NONE,false,THRESH,29.0,25.0,23.0,14.0,0.5370370370370371,0.6744186046511628,0.5767926356589147,0.1515658618216591
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,Random Forest,NONE,false,THRESH,43.0,48.0,0.0,0.0,0.4725274725274725,1.0,0.5,0.0
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,NaiveBayes,NONE,false,THRESH,10.0,37.0,303.0,6.0,0.2127659574468085,0.625,0.7580882352941176,0.2683999235327851
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,IBk,NONE,false,THRESH,11.0,63.0,277.0,5.0,0.14864864864864866,0.6875,0.7511029411764706,0.18414667026152606
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,Random Forest,NONE,false,THRESH,15.0,335.0,5.0,1.0,0.04285714285714286,0.9375,0.47610294117647056,-0.0043662255659300065
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,NaiveBayes,NONE,false,THRESH,3.0,2.0,319.0,32.0,0.6,0.08571428571428572,0.539741878059635,0.12858171346292324
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,IBk,NONE,false,THRESH,2.0,4.0,317.0,33.0,0.3333333333333333,0.05714285714285714,0.522340898976413,0.07082392776523702
